State,Time Period Start Date,Time Period End Date,Value,Low CI,High CI,Confidence Interval,Year,Start_Month
Alabama,2020-04-23,2020-05-05,18.6,14.6,23.1,14.6 - 23.1,2020,Apr
Alaska,2020-04-23,2020-05-05,19.2,16.8,21.8,16.8 - 21.8,2020,Apr
Arizona,2020-04-23,2020-05-05,22.4,19.4,25.5,19.4 - 25.5,2020,Apr
Arkansas,2020-04-23,2020-05-05,26.6,22.3,31.3,22.3 - 31.3,2020,Apr
California,2020-04-23,2020-05-05,25.4,22.5,28.6,22.5 - 28.6,2020,Apr
Colorado,2020-04-23,2020-05-05,22,19.4,24.9,19.4 - 24.9,2020,Apr
Connecticut,2020-04-23,2020-05-05,24.4,20.1,29.1,20.1 - 29.1,2020,Apr
Delaware,2020-04-23,2020-05-05,21.1,17.6,24.9,17.6 - 24.9,2020,Apr
District of Columbia,2020-04-23,2020-05-05,26.4,22.1,31.1,22.1 - 31.1,2020,Apr
Florida,2020-04-23,2020-05-05,22.5,19.7,25.4,19.7 - 25.4,2020,Apr
Georgia,2020-04-23,2020-05-05,25.6,21.4,30.2,21.4 - 30.2,2020,Apr
Hawaii,2020-04-23,2020-05-05,20,14.9,26.1,14.9 - 26.1,2020,Apr
Idaho,2020-04-23,2020-05-05,20.6,17.3,24.1,17.3 - 24.1,2020,Apr
Illinois,2020-04-23,2020-05-05,23.3,19.6,27.2,19.6 - 27.2,2020,Apr
Indiana,2020-04-23,2020-05-05,26.4,22.1,31,22.1 - 31.0,2020,Apr
Iowa,2020-04-23,2020-05-05,16.5,13.7,19.6,13.7 - 19.6,2020,Apr
Kansas,2020-04-23,2020-05-05,22.1,18.3,26.4,18.3 - 26.4,2020,Apr
Kentucky,2020-04-23,2020-05-05,23.2,19.4,27.4,19.4 - 27.4,2020,Apr
Louisiana,2020-04-23,2020-05-05,28.1,24.1,32.4,24.1 - 32.4,2020,Apr
Maine,2020-04-23,2020-05-05,19.5,16,23.5,16.0 - 23.5,2020,Apr
Maryland,2020-04-23,2020-05-05,20.9,17.9,24.1,17.9 - 24.1,2020,Apr
Massachusetts,2020-04-23,2020-05-05,25.9,22.7,29.4,22.7 - 29.4,2020,Apr
Michigan,2020-04-23,2020-05-05,25.5,22,29.4,22.0 - 29.4,2020,Apr
Minnesota,2020-04-23,2020-05-05,20.4,17.7,23.4,17.7 - 23.4,2020,Apr
Mississippi,2020-04-23,2020-05-05,22.9,18.7,27.6,18.7 - 27.6,2020,Apr
Missouri,2020-04-23,2020-05-05,21,17.9,24.5,17.9 - 24.5,2020,Apr
Montana,2020-04-23,2020-05-05,18.2,14.9,21.8,14.9 - 21.8,2020,Apr
Nebraska,2020-04-23,2020-05-05,19.1,15.3,23.3,15.3 - 23.3,2020,Apr
Nevada,2020-04-23,2020-05-05,23.6,19.1,28.7,19.1 - 28.7,2020,Apr
New Hampshire,2020-04-23,2020-05-05,19.5,16.5,22.7,16.5 - 22.7,2020,Apr
New Jersey,2020-04-23,2020-05-05,23.6,20.4,27,20.4 - 27.0,2020,Apr
New Mexico,2020-04-23,2020-05-05,22.4,18.3,26.9,18.3 - 26.9,2020,Apr
New York,2020-04-23,2020-05-05,28.7,24.6,33.1,24.6 - 33.1,2020,Apr
North Carolina,2020-04-23,2020-05-05,21.1,17.1,25.6,17.1 - 25.6,2020,Apr
North Dakota,2020-04-23,2020-05-05,17,13.7,20.7,13.7 - 20.7,2020,Apr
Ohio,2020-04-23,2020-05-05,21.2,18.2,24.5,18.2 - 24.5,2020,Apr
Oklahoma,2020-04-23,2020-05-05,20.8,16.4,25.7,16.4 - 25.7,2020,Apr
Oregon,2020-04-23,2020-05-05,22.5,19.7,25.4,19.7 - 25.4,2020,Apr
Pennsylvania,2020-04-23,2020-05-05,24.7,21.6,28.1,21.6 - 28.1,2020,Apr
Rhode Island,2020-04-23,2020-05-05,24.5,19.9,29.7,19.9 - 29.7,2020,Apr
South Carolina,2020-04-23,2020-05-05,21.6,17.9,25.7,17.9 - 25.7,2020,Apr
South Dakota,2020-04-23,2020-05-05,17.5,13,22.7,13.0 - 22.7,2020,Apr
Tennessee,2020-04-23,2020-05-05,22.2,17.2,27.8,17.2 - 27.8,2020,Apr
Texas,2020-04-23,2020-05-05,24.4,21.1,27.9,21.1 - 27.9,2020,Apr
Utah,2020-04-23,2020-05-05,22.9,20,26,20.0 - 26.0,2020,Apr
Vermont,2020-04-23,2020-05-05,20.7,15.9,26.3,15.9 - 26.3,2020,Apr
Virginia,2020-04-23,2020-05-05,21.5,18,25.3,18.0 - 25.3,2020,Apr
Washington,2020-04-23,2020-05-05,22.1,19.7,24.7,19.7 - 24.7,2020,Apr
West Virginia,2020-04-23,2020-05-05,23.4,19.5,27.6,19.5 - 27.6,2020,Apr
Wisconsin,2020-04-23,2020-05-05,22,19.2,25,19.2 - 25.0,2020,Apr
Wyoming,2020-04-23,2020-05-05,18.9,15.3,22.9,15.3 - 22.9,2020,Apr
Alabama,2020-04-23,2020-05-05,25.6,20.7,30.9,20.7 - 30.9,2020,Apr
Alaska,2020-04-23,2020-05-05,27.7,24.8,30.7,24.8 - 30.7,2020,Apr
Arizona,2020-04-23,2020-05-05,32.3,28,36.8,28.0 - 36.8,2020,Apr
Arkansas,2020-04-23,2020-05-05,33.7,28.2,39.6,28.2 - 39.6,2020,Apr
California,2020-04-23,2020-05-05,30.8,28.2,33.5,28.2 - 33.5,2020,Apr
Colorado,2020-04-23,2020-05-05,32.6,29.2,36.2,29.2 - 36.2,2020,Apr
Connecticut,2020-04-23,2020-05-05,34.9,30,40,30.0 - 40.0,2020,Apr
Delaware,2020-04-23,2020-05-05,29.9,25.5,34.6,25.5 - 34.6,2020,Apr
District of Columbia,2020-04-23,2020-05-05,31.4,27.9,35.1,27.9 - 35.1,2020,Apr
Florida,2020-04-23,2020-05-05,32.6,29.7,35.6,29.7 - 35.6,2020,Apr
Georgia,2020-04-23,2020-05-05,31.9,28.1,35.9,28.1 - 35.9,2020,Apr
Hawaii,2020-04-23,2020-05-05,32.3,27.1,37.8,27.1 - 37.8,2020,Apr
Idaho,2020-04-23,2020-05-05,26.9,23.7,30.2,23.7 - 30.2,2020,Apr
Illinois,2020-04-23,2020-05-05,31.1,27,35.4,27.0 - 35.4,2020,Apr
Indiana,2020-04-23,2020-05-05,31.8,27.5,36.4,27.5 - 36.4,2020,Apr
Iowa,2020-04-23,2020-05-05,22.5,19,26.2,19.0 - 26.2,2020,Apr
Kansas,2020-04-23,2020-05-05,26.4,22,31.2,22.0 - 31.2,2020,Apr
Kentucky,2020-04-23,2020-05-05,31.6,28.1,35.3,28.1 - 35.3,2020,Apr
Louisiana,2020-04-23,2020-05-05,34.4,29.7,39.3,29.7 - 39.3,2020,Apr
Maine,2020-04-23,2020-05-05,29.5,25.9,33.3,25.9 - 33.3,2020,Apr
Maryland,2020-04-23,2020-05-05,27.7,24.6,31.1,24.6 - 31.1,2020,Apr
Massachusetts,2020-04-23,2020-05-05,37,33.3,40.7,33.3 - 40.7,2020,Apr
Michigan,2020-04-23,2020-05-05,32.5,28.6,36.7,28.6 - 36.7,2020,Apr
Minnesota,2020-04-23,2020-05-05,28.5,25.2,32,25.2 - 32.0,2020,Apr
Mississippi,2020-04-23,2020-05-05,30.3,24.7,36.3,24.7 - 36.3,2020,Apr
Missouri,2020-04-23,2020-05-05,30.4,25.8,35.4,25.8 - 35.4,2020,Apr
Montana,2020-04-23,2020-05-05,22.8,19.6,26.3,19.6 - 26.3,2020,Apr
Nebraska,2020-04-23,2020-05-05,24.2,20.6,28,20.6 - 28.0,2020,Apr
Nevada,2020-04-23,2020-05-05,31.4,27.3,35.7,27.3 - 35.7,2020,Apr
New Hampshire,2020-04-23,2020-05-05,31.3,27.1,35.7,27.1 - 35.7,2020,Apr
New Jersey,2020-04-23,2020-05-05,31.4,28.2,34.7,28.2 - 34.7,2020,Apr
New Mexico,2020-04-23,2020-05-05,27.9,23.9,32.2,23.9 - 32.2,2020,Apr
New York,2020-04-23,2020-05-05,36.1,32.1,40.2,32.1 - 40.2,2020,Apr
North Carolina,2020-04-23,2020-05-05,30,25.1,35.3,25.1 - 35.3,2020,Apr
North Dakota,2020-04-23,2020-05-05,21.7,18.3,25.5,18.3 - 25.5,2020,Apr
Ohio,2020-04-23,2020-05-05,31.1,27.4,35.1,27.4 - 35.1,2020,Apr
Oklahoma,2020-04-23,2020-05-05,28.6,24.9,32.4,24.9 - 32.4,2020,Apr
Oregon,2020-04-23,2020-05-05,31.5,28,35.1,28.0 - 35.1,2020,Apr
Pennsylvania,2020-04-23,2020-05-05,31,27.5,34.7,27.5 - 34.7,2020,Apr
Rhode Island,2020-04-23,2020-05-05,27.6,23.4,32,23.4 - 32.0,2020,Apr
South Carolina,2020-04-23,2020-05-05,27.8,24,31.7,24.0 - 31.7,2020,Apr
South Dakota,2020-04-23,2020-05-05,22.1,17.3,27.6,17.3 - 27.6,2020,Apr
Tennessee,2020-04-23,2020-05-05,28.2,22.8,34,22.8 - 34.0,2020,Apr
Texas,2020-04-23,2020-05-05,29.7,25.9,33.7,25.9 - 33.7,2020,Apr
Utah,2020-04-23,2020-05-05,28.9,24.9,33.1,24.9 - 33.1,2020,Apr
Vermont,2020-04-23,2020-05-05,30.6,25.6,35.8,25.6 - 35.8,2020,Apr
Virginia,2020-04-23,2020-05-05,28.5,25.4,31.8,25.4 - 31.8,2020,Apr
Washington,2020-04-23,2020-05-05,30.6,27.7,33.7,27.7 - 33.7,2020,Apr
West Virginia,2020-04-23,2020-05-05,28.8,24,33.9,24.0 - 33.9,2020,Apr
Wisconsin,2020-04-23,2020-05-05,27.1,24.1,30.2,24.1 - 30.2,2020,Apr
Wyoming,2020-04-23,2020-05-05,24.9,21,29.2,21.0 - 29.2,2020,Apr
Alabama,2020-04-23,2020-05-05,30.3,24.8,36.2,24.8 - 36.2,2020,Apr
Alaska,2020-04-23,2020-05-05,31.5,28.8,34.4,28.8 - 34.4,2020,Apr
Arizona,2020-04-23,2020-05-05,36.4,32.3,40.7,32.3 - 40.7,2020,Apr
Arkansas,2020-04-23,2020-05-05,38,33.1,43.1,33.1 - 43.1,2020,Apr
California,2020-04-23,2020-05-05,37.4,34.2,40.6,34.2 - 40.6,2020,Apr
Colorado,2020-04-23,2020-05-05,35.9,32.3,39.7,32.3 - 39.7,2020,Apr
Connecticut,2020-04-23,2020-05-05,40.2,35.3,45.3,35.3 - 45.3,2020,Apr
Delaware,2020-04-23,2020-05-05,34.7,30.4,39.3,30.4 - 39.3,2020,Apr
District of Columbia,2020-04-23,2020-05-05,37.6,34.1,41.3,34.1 - 41.3,2020,Apr
Florida,2020-04-23,2020-05-05,36.8,33.9,39.8,33.9 - 39.8,2020,Apr
Georgia,2020-04-23,2020-05-05,36.2,31.8,40.7,31.8 - 40.7,2020,Apr
Hawaii,2020-04-23,2020-05-05,37,31.4,42.9,31.4 - 42.9,2020,Apr
Idaho,2020-04-23,2020-05-05,33.3,29.9,36.8,29.9 - 36.8,2020,Apr
Illinois,2020-04-23,2020-05-05,36.6,32.7,40.7,32.7 - 40.7,2020,Apr
Indiana,2020-04-23,2020-05-05,37.8,33.5,42.4,33.5 - 42.4,2020,Apr
Iowa,2020-04-23,2020-05-05,28.2,24.6,32.1,24.6 - 32.1,2020,Apr
Kansas,2020-04-23,2020-05-05,32.5,28.4,36.9,28.4 - 36.9,2020,Apr
Kentucky,2020-04-23,2020-05-05,36.4,32.5,40.4,32.5 - 40.4,2020,Apr
Louisiana,2020-04-23,2020-05-05,38.9,34.3,43.7,34.3 - 43.7,2020,Apr
Maine,2020-04-23,2020-05-05,34.3,30.6,38.1,30.6 - 38.1,2020,Apr
Maryland,2020-04-23,2020-05-05,32.9,29.3,36.6,29.3 - 36.6,2020,Apr
Massachusetts,2020-04-23,2020-05-05,40.6,36.9,44.4,36.9 - 44.4,2020,Apr
Michigan,2020-04-23,2020-05-05,39.4,35.8,43.1,35.8 - 43.1,2020,Apr
Minnesota,2020-04-23,2020-05-05,32.4,29.1,35.9,29.1 - 35.9,2020,Apr
Mississippi,2020-04-23,2020-05-05,34.5,28.8,40.5,28.8 - 40.5,2020,Apr
Missouri,2020-04-23,2020-05-05,35.2,30.2,40.4,30.2 - 40.4,2020,Apr
Montana,2020-04-23,2020-05-05,27.3,23.5,31.4,23.5 - 31.4,2020,Apr
Nebraska,2020-04-23,2020-05-05,28.6,24.9,32.7,24.9 - 32.7,2020,Apr
Nevada,2020-04-23,2020-05-05,34.8,30.4,39.4,30.4 - 39.4,2020,Apr
New Hampshire,2020-04-23,2020-05-05,34.8,30.6,39.2,30.6 - 39.2,2020,Apr
New Jersey,2020-04-23,2020-05-05,37.6,34.2,41.1,34.2 - 41.1,2020,Apr
New Mexico,2020-04-23,2020-05-05,34.6,29.9,39.7,29.9 - 39.7,2020,Apr
New York,2020-04-23,2020-05-05,41.4,36.7,46.1,36.7 - 46.1,2020,Apr
North Carolina,2020-04-23,2020-05-05,34.6,29.4,40.1,29.4 - 40.1,2020,Apr
North Dakota,2020-04-23,2020-05-05,27.7,23.8,31.9,23.8 - 31.9,2020,Apr
Ohio,2020-04-23,2020-05-05,35.1,31.7,38.7,31.7 - 38.7,2020,Apr
Oklahoma,2020-04-23,2020-05-05,34.1,29.6,38.8,29.6 - 38.8,2020,Apr
Oregon,2020-04-23,2020-05-05,36.8,33.2,40.6,33.2 - 40.6,2020,Apr
Pennsylvania,2020-04-23,2020-05-05,35.1,31.7,38.7,31.7 - 38.7,2020,Apr
Rhode Island,2020-04-23,2020-05-05,34.4,29.9,39.1,29.9 - 39.1,2020,Apr
South Carolina,2020-04-23,2020-05-05,33.3,29.4,37.4,29.4 - 37.4,2020,Apr
South Dakota,2020-04-23,2020-05-05,25.6,20.5,31.1,20.5 - 31.1,2020,Apr
Tennessee,2020-04-23,2020-05-05,33.4,28,39.3,28.0 - 39.3,2020,Apr
Texas,2020-04-23,2020-05-05,34.9,30.8,39.2,30.8 - 39.2,2020,Apr
Utah,2020-04-23,2020-05-05,34.7,31.1,38.4,31.1 - 38.4,2020,Apr
Vermont,2020-04-23,2020-05-05,33.9,28.5,39.6,28.5 - 39.6,2020,Apr
Virginia,2020-04-23,2020-05-05,33.7,30.3,37.2,30.3 - 37.2,2020,Apr
Washington,2020-04-23,2020-05-05,35,32.2,37.8,32.2 - 37.8,2020,Apr
West Virginia,2020-04-23,2020-05-05,34.3,29.5,39.3,29.5 - 39.3,2020,Apr
Wisconsin,2020-04-23,2020-05-05,31.1,28.1,34.3,28.1 - 34.3,2020,Apr
Wyoming,2020-04-23,2020-05-05,31,26.4,35.8,26.4 - 35.8,2020,Apr
Alabama,2020-05-07,2020-05-12,22.5,16.4,29.5,16.4 - 29.5,2020,May
Alaska,2020-05-07,2020-05-12,25.1,20.3,30.4,20.3 - 30.4,2020,May
Arizona,2020-05-07,2020-05-12,25.3,19.7,31.7,19.7 - 31.7,2020,May
Arkansas,2020-05-07,2020-05-12,24.5,19.2,30.5,19.2 - 30.5,2020,May
California,2020-05-07,2020-05-12,22.8,19.2,26.8,19.2 - 26.8,2020,May
Colorado,2020-05-07,2020-05-12,23.6,17.8,30.2,17.8 - 30.2,2020,May
Connecticut,2020-05-07,2020-05-12,21.5,16.2,27.6,16.2 - 27.6,2020,May
Delaware,2020-05-07,2020-05-12,23.3,18.3,28.9,18.3 - 28.9,2020,May
District of Columbia,2020-05-07,2020-05-12,30.3,22.8,38.6,22.8 - 38.6,2020,May
Florida,2020-05-07,2020-05-12,24.8,20,30,20.0 - 30.0,2020,May
Georgia,2020-05-07,2020-05-12,25.6,20.7,30.9,20.7 - 30.9,2020,May
Hawaii,2020-05-07,2020-05-12,16.8,12.1,22.4,12.1 - 22.4,2020,May
Idaho,2020-05-07,2020-05-12,17,13.2,21.5,13.2 - 21.5,2020,May
Illinois,2020-05-07,2020-05-12,29.2,25.2,33.5,25.2 - 33.5,2020,May
Indiana,2020-05-07,2020-05-12,19.9,14.8,25.8,14.8 - 25.8,2020,May
Iowa,2020-05-07,2020-05-12,18.1,12.9,24.2,12.9 - 24.2,2020,May
Kansas,2020-05-07,2020-05-12,16.7,12.8,21.2,12.8 - 21.2,2020,May
Kentucky,2020-05-07,2020-05-12,25.6,19.8,32.2,19.8 - 32.2,2020,May
Louisiana,2020-05-07,2020-05-12,30,23.2,37.5,23.2 - 37.5,2020,May
Maine,2020-05-07,2020-05-12,17.1,12.2,23,12.2 - 23.0,2020,May
Maryland,2020-05-07,2020-05-12,24.6,18.3,31.8,18.3 - 31.8,2020,May
Massachusetts,2020-05-07,2020-05-12,18.9,15.2,23,15.2 - 23.0,2020,May
Michigan,2020-05-07,2020-05-12,23.4,18.8,28.4,18.8 - 28.4,2020,May
Minnesota,2020-05-07,2020-05-12,18.4,13.8,23.9,13.8 - 23.9,2020,May
Mississippi,2020-05-07,2020-05-12,35.5,27.5,44.1,27.5 - 44.1,2020,May
Missouri,2020-05-07,2020-05-12,24.1,18.5,30.5,18.5 - 30.5,2020,May
Montana,2020-05-07,2020-05-12,20.8,14.7,28.2,14.7 - 28.2,2020,May
Nebraska,2020-05-07,2020-05-12,21.6,15.4,28.9,15.4 - 28.9,2020,May
Nevada,2020-05-07,2020-05-12,31.2,25.4,37.5,25.4 - 37.5,2020,May
New Hampshire,2020-05-07,2020-05-12,23.3,18.2,28.9,18.2 - 28.9,2020,May
New Jersey,2020-05-07,2020-05-12,26.4,20.3,33.2,20.3 - 33.2,2020,May
New Mexico,2020-05-07,2020-05-12,29,20.8,38.3,20.8 - 38.3,2020,May
New York,2020-05-07,2020-05-12,29.2,24.2,34.6,24.2 - 34.6,2020,May
North Carolina,2020-05-07,2020-05-12,20.2,15.6,25.5,15.6 - 25.5,2020,May
North Dakota,2020-05-07,2020-05-12,20.2,13.9,27.9,13.9 - 27.9,2020,May
Ohio,2020-05-07,2020-05-12,26.4,21.3,32.1,21.3 - 32.1,2020,May
Oklahoma,2020-05-07,2020-05-12,20.7,15.4,26.9,15.4 - 26.9,2020,May
Oregon,2020-05-07,2020-05-12,17.8,13.7,22.6,13.7 - 22.6,2020,May
Pennsylvania,2020-05-07,2020-05-12,23,18.8,27.8,18.8 - 27.8,2020,May
Rhode Island,2020-05-07,2020-05-12,22.8,15.3,31.9,15.3 - 31.9,2020,May
South Carolina,2020-05-07,2020-05-12,25.6,20.6,31.1,20.6 - 31.1,2020,May
South Dakota,2020-05-07,2020-05-12,20.5,13.5,29.2,13.5 - 29.2,2020,May
Tennessee,2020-05-07,2020-05-12,21.7,15.2,29.5,15.2 - 29.5,2020,May
Texas,2020-05-07,2020-05-12,25.7,21.8,30,21.8 - 30.0,2020,May
Utah,2020-05-07,2020-05-12,22.6,17.9,27.8,17.9 - 27.8,2020,May
Vermont,2020-05-07,2020-05-12,26.8,20.4,34.1,20.4 - 34.1,2020,May
Virginia,2020-05-07,2020-05-12,20.6,16.4,25.4,16.4 - 25.4,2020,May
Washington,2020-05-07,2020-05-12,22.9,19.4,26.6,19.4 - 26.6,2020,May
West Virginia,2020-05-07,2020-05-12,31.8,24.7,39.7,24.7 - 39.7,2020,May
Wisconsin,2020-05-07,2020-05-12,22.9,17.2,29.5,17.2 - 29.5,2020,May
Wyoming,2020-05-07,2020-05-12,18.6,11,28.5,11.0 - 28.5,2020,May
Alabama,2020-05-07,2020-05-12,27.2,21.1,34.1,21.1 - 34.1,2020,May
Alaska,2020-05-07,2020-05-12,27.4,22.8,32.4,22.8 - 32.4,2020,May
Arizona,2020-05-07,2020-05-12,34.2,29.2,39.4,29.2 - 39.4,2020,May
Arkansas,2020-05-07,2020-05-12,29.1,23.4,35.3,23.4 - 35.3,2020,May
California,2020-05-07,2020-05-12,31.4,27.4,35.6,27.4 - 35.6,2020,May
Colorado,2020-05-07,2020-05-12,29.7,23.4,36.8,23.4 - 36.8,2020,May
Connecticut,2020-05-07,2020-05-12,29.1,22.4,36.6,22.4 - 36.6,2020,May
Delaware,2020-05-07,2020-05-12,24.9,19.7,30.8,19.7 - 30.8,2020,May
District of Columbia,2020-05-07,2020-05-12,36.2,28.6,44.5,28.6 - 44.5,2020,May
Florida,2020-05-07,2020-05-12,27.6,23.1,32.5,23.1 - 32.5,2020,May
Georgia,2020-05-07,2020-05-12,29.5,24.2,35.4,24.2 - 35.4,2020,May
Hawaii,2020-05-07,2020-05-12,20.4,15.9,25.5,15.9 - 25.5,2020,May
Idaho,2020-05-07,2020-05-12,25,19.9,30.6,19.9 - 30.6,2020,May
Illinois,2020-05-07,2020-05-12,35.7,30.6,41.1,30.6 - 41.1,2020,May
Indiana,2020-05-07,2020-05-12,31.5,26.5,36.9,26.5 - 36.9,2020,May
Iowa,2020-05-07,2020-05-12,20.3,15.5,25.9,15.5 - 25.9,2020,May
Kansas,2020-05-07,2020-05-12,25.1,20,30.9,20.0 - 30.9,2020,May
Kentucky,2020-05-07,2020-05-12,29.6,24.6,35,24.6 - 35.0,2020,May
Louisiana,2020-05-07,2020-05-12,34.6,27.2,42.7,27.2 - 42.7,2020,May
Maine,2020-05-07,2020-05-12,28.9,22.7,35.7,22.7 - 35.7,2020,May
Maryland,2020-05-07,2020-05-12,30.1,24.2,36.6,24.2 - 36.6,2020,May
Massachusetts,2020-05-07,2020-05-12,28.7,24.5,33.3,24.5 - 33.3,2020,May
Michigan,2020-05-07,2020-05-12,27,22.4,32.1,22.4 - 32.1,2020,May
Minnesota,2020-05-07,2020-05-12,22.9,18.4,27.9,18.4 - 27.9,2020,May
Mississippi,2020-05-07,2020-05-12,38.3,30.9,46,30.9 - 46.0,2020,May
Missouri,2020-05-07,2020-05-12,37.8,32.3,43.7,32.3 - 43.7,2020,May
Montana,2020-05-07,2020-05-12,24.9,18.1,32.8,18.1 - 32.8,2020,May
Nebraska,2020-05-07,2020-05-12,29.6,23.1,36.8,23.1 - 36.8,2020,May
Nevada,2020-05-07,2020-05-12,34,28.3,40.2,28.3 - 40.2,2020,May
New Hampshire,2020-05-07,2020-05-12,30.4,25.7,35.5,25.7 - 35.5,2020,May
New Jersey,2020-05-07,2020-05-12,36.3,29.9,43.2,29.9 - 43.2,2020,May
New Mexico,2020-05-07,2020-05-12,30.2,22.7,38.4,22.7 - 38.4,2020,May
New York,2020-05-07,2020-05-12,33,27.7,38.5,27.7 - 38.5,2020,May
North Carolina,2020-05-07,2020-05-12,25.9,20.4,32,20.4 - 32.0,2020,May
North Dakota,2020-05-07,2020-05-12,25.4,18.8,33,18.8 - 33.0,2020,May
Ohio,2020-05-07,2020-05-12,26.4,21.6,31.6,21.6 - 31.6,2020,May
Oklahoma,2020-05-07,2020-05-12,27.2,20.7,34.6,20.7 - 34.6,2020,May
Oregon,2020-05-07,2020-05-12,26.2,22.5,30.3,22.5 - 30.3,2020,May
Pennsylvania,2020-05-07,2020-05-12,28.4,23.7,33.5,23.7 - 33.5,2020,May
Rhode Island,2020-05-07,2020-05-12,26.9,19.2,35.9,19.2 - 35.9,2020,May
South Carolina,2020-05-07,2020-05-12,27.9,23,33.3,23.0 - 33.3,2020,May
South Dakota,2020-05-07,2020-05-12,26.1,17.9,35.7,17.9 - 35.7,2020,May
Tennessee,2020-05-07,2020-05-12,29.6,23.4,36.5,23.4 - 36.5,2020,May
Texas,2020-05-07,2020-05-12,32.4,28.2,36.9,28.2 - 36.9,2020,May
Utah,2020-05-07,2020-05-12,26,21.6,30.9,21.6 - 30.9,2020,May
Vermont,2020-05-07,2020-05-12,31.8,25.3,38.8,25.3 - 38.8,2020,May
Virginia,2020-05-07,2020-05-12,26.8,21.8,32.3,21.8 - 32.3,2020,May
Washington,2020-05-07,2020-05-12,28.5,24.5,32.8,24.5 - 32.8,2020,May
West Virginia,2020-05-07,2020-05-12,34.6,27.3,42.4,27.3 - 42.4,2020,May
Wisconsin,2020-05-07,2020-05-12,25.6,19.4,32.6,19.4 - 32.6,2020,May
Wyoming,2020-05-07,2020-05-12,22.5,15,31.7,15.0 - 31.7,2020,May
Alabama,2020-05-07,2020-05-12,30.6,24.1,37.7,24.1 - 37.7,2020,May
Alaska,2020-05-07,2020-05-12,35.7,30.9,40.8,30.9 - 40.8,2020,May
Arizona,2020-05-07,2020-05-12,38.4,32.6,44.6,32.6 - 44.6,2020,May
Arkansas,2020-05-07,2020-05-12,33,27.2,39.4,27.2 - 39.4,2020,May
California,2020-05-07,2020-05-12,34.4,30.4,38.6,30.4 - 38.6,2020,May
Colorado,2020-05-07,2020-05-12,32.2,25.7,39.2,25.7 - 39.2,2020,May
Connecticut,2020-05-07,2020-05-12,36,28.8,43.6,28.8 - 43.6,2020,May
Delaware,2020-05-07,2020-05-12,31.6,26.1,37.5,26.1 - 37.5,2020,May
District of Columbia,2020-05-07,2020-05-12,40.6,32.9,48.7,32.9 - 48.7,2020,May
Florida,2020-05-07,2020-05-12,33.6,28.5,39.1,28.5 - 39.1,2020,May
Georgia,2020-05-07,2020-05-12,34.3,28.2,40.8,28.2 - 40.8,2020,May
Hawaii,2020-05-07,2020-05-12,27.1,21.7,33.2,21.7 - 33.2,2020,May
Idaho,2020-05-07,2020-05-12,29.2,24,34.9,24.0 - 34.9,2020,May
Illinois,2020-05-07,2020-05-12,41.8,37.7,46,37.7 - 46.0,2020,May
Indiana,2020-05-07,2020-05-12,34.9,29.4,40.8,29.4 - 40.8,2020,May
Iowa,2020-05-07,2020-05-12,26.1,20.2,32.8,20.2 - 32.8,2020,May
Kansas,2020-05-07,2020-05-12,28,22.5,34.1,22.5 - 34.1,2020,May
Kentucky,2020-05-07,2020-05-12,37.7,31,44.7,31.0 - 44.7,2020,May
Louisiana,2020-05-07,2020-05-12,42.8,36.3,49.5,36.3 - 49.5,2020,May
Maine,2020-05-07,2020-05-12,32.9,26.6,39.6,26.6 - 39.6,2020,May
Maryland,2020-05-07,2020-05-12,34.6,28.4,41.3,28.4 - 41.3,2020,May
Massachusetts,2020-05-07,2020-05-12,31,26.5,35.8,26.5 - 35.8,2020,May
Michigan,2020-05-07,2020-05-12,33.4,28.4,38.7,28.4 - 38.7,2020,May
Minnesota,2020-05-07,2020-05-12,27.2,22.2,32.6,22.2 - 32.6,2020,May
Mississippi,2020-05-07,2020-05-12,48.4,40.3,56.6,40.3 - 56.6,2020,May
Missouri,2020-05-07,2020-05-12,41.3,35.5,47.3,35.5 - 47.3,2020,May
Montana,2020-05-07,2020-05-12,27.6,20.7,35.4,20.7 - 35.4,2020,May
Nebraska,2020-05-07,2020-05-12,33.4,27.2,40,27.2 - 40.0,2020,May
Nevada,2020-05-07,2020-05-12,38.1,32.7,43.8,32.7 - 43.8,2020,May
New Hampshire,2020-05-07,2020-05-12,35,30,40.2,30.0 - 40.2,2020,May
New Jersey,2020-05-07,2020-05-12,39.6,32.9,46.7,32.9 - 46.7,2020,May
New Mexico,2020-05-07,2020-05-12,39.8,31.8,48.2,31.8 - 48.2,2020,May
New York,2020-05-07,2020-05-12,36.9,31.6,42.4,31.6 - 42.4,2020,May
North Carolina,2020-05-07,2020-05-12,28.1,22.4,34.4,22.4 - 34.4,2020,May
North Dakota,2020-05-07,2020-05-12,28.6,21.3,36.8,21.3 - 36.8,2020,May
Ohio,2020-05-07,2020-05-12,32.8,27.5,38.6,27.5 - 38.6,2020,May
Oklahoma,2020-05-07,2020-05-12,31,24.1,38.5,24.1 - 38.5,2020,May
Oregon,2020-05-07,2020-05-12,29.9,25.4,34.8,25.4 - 34.8,2020,May
Pennsylvania,2020-05-07,2020-05-12,32,27.2,37,27.2 - 37.0,2020,May
Rhode Island,2020-05-07,2020-05-12,33.8,25.4,43,25.4 - 43.0,2020,May
South Carolina,2020-05-07,2020-05-12,33.1,27.8,38.6,27.8 - 38.6,2020,May
South Dakota,2020-05-07,2020-05-12,29.8,21.5,39.2,21.5 - 39.2,2020,May
